Datetime,Measurement,Presence
25/12/2018 22:11,28.04970741,Yes
25/12/2018 22:11,13.11303377,Yes
25/12/2018 22:12,28.81023884,Yes
25/12/2018 22:12,21.06999159,Yes
25/12/2018 22:12,29.69343662,Yes
25/12/2018 22:13,16.06520414,Yes
25/12/2018 22:13,17.95426607,Yes
25/12/2018 22:15,29.03512716,Yes
25/12/2018 22:15,27.86570787,Yes
25/12/2018 22:15,13.86129856,Yes
25/12/2018 22:15,12.90858984,Yes
25/12/2018 22:16,14.61365223,Yes
25/12/2018 22:16,29.05966043,Yes
25/12/2018 22:17,18.19550991,Yes
25/12/2018 22:18,27.60810852,Yes
25/12/2018 22:19,28.92472744,Yes
25/12/2018 22:22,21.60563469,Yes
25/12/2018 22:24,28.8552165,Yes
25/12/2018 22:27,28.55672836,Yes
25/12/2018 22:27,26.25468969,Yes
25/12/2018 22:27,14.16387558,Yes
25/12/2018 22:29,28.02926302,Yes
25/12/2018 22:45,19.83515024,Yes
25/12/2018 23:01,27.4772644,Yes
25/12/2018 23:02,16.42502546,Yes
25/12/2018 23:02,28.27459574,Yes
25/12/2018 23:02,29.96330261,Yes
25/12/2018 23:03,29.88152504,Yes
25/12/2018 23:03,29.93059158,Yes
25/12/2018 23:03,22.1576333,Yes
25/12/2018 23:03,13.38698864,Yes
25/12/2018 23:04,25.1057148,Yes
25/12/2018 23:04,24.31656122,Yes
25/12/2018 23:04,12.56921291,Yes
25/12/2018 23:05,14.30698633,Yes
25/12/2018 23:05,13.48921061,Yes
25/12/2018 23:05,12.42610216,Yes
25/12/2018 23:05,29.68116999,Yes
25/12/2018 23:06,17.83977747,Yes
25/12/2018 23:06,7.057404518,Yes
25/12/2018 23:06,6.885671616,Yes
25/12/2018 23:06,23.44971895,Yes
25/12/2018 23:06,22.1208334,Yes
25/12/2018 23:07,13.35427761,Yes
25/12/2018 23:07,29.72614765,Yes
25/12/2018 23:08,29.48899269,Yes
25/12/2018 23:08,19.39355135,Yes
25/12/2018 23:09,27.06019878,Yes
25/12/2018 23:11,12.79819012,Yes
25/12/2018 23:11,17.6435113,Yes
25/12/2018 23:15,27.86570787,Yes
25/12/2018 23:15,19.03781891,Yes
25/12/2018 23:16,19.67568398,Yes
25/12/2018 23:17,18.29773188,Yes
25/12/2018 23:17,29.94285822,Yes
25/12/2018 23:17,21.2008357,Yes
25/12/2018 23:18,20.00688314,Yes
25/12/2018 23:18,24.70500469,Yes
25/12/2018 23:18,16.76849127,Yes
25/12/2018 23:18,23.40065241,Yes
25/12/2018 23:18,20.24403811,Yes
25/12/2018 23:19,23.76865149,Yes
25/12/2018 23:19,29.87334728,Yes
25/12/2018 23:21,25.16704798,Yes
25/12/2018 23:21,22.88136482,Yes
25/12/2018 23:21,26.02571249,Yes
25/12/2018 23:21,29.21094894,Yes
25/12/2018 23:21,18.49399805,Yes
25/12/2018 23:22,4.465055466,Yes
25/12/2018 23:22,29.66890335,Yes
25/12/2018 23:22,25.75993538,Yes
25/12/2018 23:22,22.90180922,Yes
25/12/2018 23:23,20.36261559,Yes
25/12/2018 23:23,13.2806778,Yes
25/12/2018 23:23,19.7860837,Yes
25/12/2018 23:28,23.64189625,Yes
25/12/2018 23:29,24.75816011,Yes
25/12/2018 23:29,21.27443552,Yes
25/12/2018 23:32,15.52956104,Yes
