Date,Time,Measurement,Presence
26/12/2018,15:39:01,21.93683386,Yes
26/12/2018,15:44:10,24.90535975,Yes
26/12/2018,15:44:35,15.51729441,Yes
26/12/2018,15:45:32,27.98837423,Yes
26/12/2018,15:45:34,21.98998928,Yes
26/12/2018,15:46:06,26.27104521,Yes
26/12/2018,15:46:09,26.27513409,Yes
26/12/2018,15:47:46,28.05788517,Yes
26/12/2018,15:48:00,20.68972588,Yes
26/12/2018,15:48:09,15.62769413,Yes
26/12/2018,15:48:47,19.38946247,Yes
26/12/2018,15:49:30,12.28299141,Yes
26/12/2018,15:49:46,16.08973742,Yes
26/12/2018,15:49:48,18.07284355,Yes
26/12/2018,15:49:54,17.49222279,Yes
26/12/2018,15:50:22,23.86269569,Yes
26/12/2018,15:50:51,27.73895264,Yes
26/12/2018,15:51:01,16.96884632,Yes
26/12/2018,15:51:50,19.39764023,Yes
26/12/2018,15:51:55,26.77397728,Yes
26/12/2018,15:52:00,23.077631,Yes
26/12/2018,15:52:08,23.48242998,Yes
26/12/2018,15:52:55,18.70253086,Yes
26/12/2018,15:53:53,15.22698402,Yes
26/12/2018,15:54:08,19.75746155,Yes
26/12/2018,15:57:41,25.58820248,Yes
26/12/2018,15:58:23,28.64668369,Yes
26/12/2018,15:58:59,28.78979445,Yes
26/12/2018,15:59:19,22.100389,Yes
26/12/2018,16:00:54,27.25237608,Yes
26/12/2018,16:05:39,15.77489376,Yes
26/12/2018,16:10:08,15.90982676,Yes
26/12/2018,16:10:31,13.50147724,Yes
26/12/2018,16:10:53,14.55231905,Yes
26/12/2018,16:11:11,18.67390871,Yes
26/12/2018,16:12:03,9.040510654,Yes
26/12/2018,16:12:54,23.87905121,Yes
26/12/2018,16:13:04,25.06073713,Yes
26/12/2018,16:13:48,9.77241993,Yes
26/12/2018,16:14:18,21.6996789,Yes
26/12/2018,16:14:30,19.68795061,Yes
26/12/2018,16:14:36,23.71549606,Yes
26/12/2018,16:15:19,21.63016796,Yes
26/12/2018,16:21:42,11.41614914,Yes
26/12/2018,16:24:54,17.90111065,Yes
26/12/2018,16:25:45,29.87334728,Yes
26/12/2018,16:26:08,19.75746155,Yes
26/12/2018,16:40:20,29.99601364,Yes
26/12/2018,16:42:08,17.46768951,Yes
26/12/2018,16:44:49,12.02539206,Yes
26/12/2018,16:45:46,17.43088961,Yes
26/12/2018,16:46:06,19.16457415,Yes
26/12/2018,16:46:18,16.64991379,Yes
26/12/2018,16:46:37,18.26502085,Yes
26/12/2018,16:47:02,17.61080027,Yes
26/12/2018,16:47:54,25.84171295,Yes
26/12/2018,16:48:21,24.00989532,Yes
26/12/2018,16:48:25,16.2083149,Yes
26/12/2018,16:49:12,25.08935928,Yes
26/12/2018,16:49:51,29.84063625,Yes
26/12/2018,16:49:56,24.14073944,Yes
26/12/2018,16:50:19,6.435894966,Yes
26/12/2018,16:50:59,24.06305075,Yes
26/12/2018,16:53:15,23.4987855,Yes
26/12/2018,16:54:54,24.05078411,Yes
26/12/2018,16:57:55,23.82180691,Yes
26/12/2018,17:00:12,29.74250317,Yes
26/12/2018,17:00:21,27.58357525,Yes
26/12/2018,17:00:27,18.33453178,Yes
26/12/2018,17:00:47,11.64512634,Yes
26/12/2018,17:01:17,23.06127548,Yes
26/12/2018,17:01:30,24.36971664,Yes
26/12/2018,17:01:57,29.98783588,Yes
26/12/2018,17:02:00,29.70570326,Yes
26/12/2018,17:02:04,29.14552689,Yes
26/12/2018,17:02:07,15.4232502,Yes
26/12/2018,17:04:42,22.39069939,Yes
26/12/2018,17:05:00,13.30112219,Yes
26/12/2018,17:05:23,28.31139565,Yes
26/12/2018,17:05:45,24.98713732,Yes
26/12/2018,17:06:01,26.75762177,Yes
26/12/2018,17:06:40,17.74164438,Yes
26/12/2018,17:06:45,24.70091581,Yes
26/12/2018,17:07:05,23.60509634,Yes
26/12/2018,17:07:13,26.83939934,Yes
26/12/2018,17:07:25,29.9265027,Yes
26/12/2018,17:09:47,24.75816011,Yes
26/12/2018,17:13:08,17.43088961,Yes
26/12/2018,17:13:45,15.08387327,Yes
26/12/2018,17:21:17,21.29487991,Yes
26/12/2018,17:21:29,23.077631,Yes
26/12/2018,17:29:08,19.67977285,Yes
26/12/2018,17:36:45,13.0885005,Yes
26/12/2018,17:45:08,23.80545139,Yes
26/12/2018,18:01:09,15.57453871,Yes
26/12/2018,18:15:39,29.97965813,Yes
26/12/2018,18:17:06,28.25006247,Yes
26/12/2018,18:17:17,27.05202103,Yes
26/12/2018,18:18:14,27.35459805,Yes
26/12/2018,18:18:17,28.23370695,Yes
26/12/2018,18:18:37,26.01753473,Yes
26/12/2018,18:18:47,18.44084263,Yes
26/12/2018,18:19:20,27.09699869,Yes
26/12/2018,18:19:29,22.31709957,Yes
26/12/2018,18:19:45,27.6694417,Yes
26/12/2018,18:20:02,19.87603903,Yes
26/12/2018,18:20:26,28.97379398,Yes
26/12/2018,18:20:44,26.74126625,Yes
26/12/2018,18:20:58,25.0852704,Yes
26/12/2018,18:21:28,23.04491997,Yes
26/12/2018,18:21:42,28.01290751,Yes
26/12/2018,18:24:10,18.57577562,Yes
26/12/2018,18:24:21,19.87195015,Yes
26/12/2018,18:27:08,17.19782352,Yes
26/12/2018,18:27:22,26.24651194,Yes
26/12/2018,18:27:36,13.78360987,Yes
26/12/2018,18:27:50,9.404420853,Yes
26/12/2018,18:32:55,20.87372541,Yes
26/12/2018,18:34:11,26.042068,Yes
26/12/2018,18:34:17,28.95334959,Yes
26/12/2018,18:34:23,18.62075329,Yes
26/12/2018,18:47:02,19.92919445,Yes
26/12/2018,18:47:09,16.46591425,Yes
26/12/2018,18:48:09,19.70021725,Yes
26/12/2018,18:49:57,22.6564765,Yes
26/12/2018,18:51:50,21.74874544,Yes
